Accession	Sample Name	SPUID	Organism	Tax ID	
SAMN54531459	1_NSC01_5_10	1_NSC01_5_10	soil metagenome	410658	
SAMN54531460	1_NSC01_35_40	1_NSC01_35_40	soil metagenome	410658	
SAMN54531461	1_NSC01_45_50	1_NSC01_45_50	soil metagenome	410658	
SAMN54531462	1_NSC02_20_25	1_NSC02_20_25	soil metagenome	410658	
SAMN54531463	1_NSC02_35_40	1_NSC02_35_40	soil metagenome	410658	
SAMN54531464	1_NSC02_40_45	1_NSC02_40_45	soil metagenome	410658	
SAMN54531465	1_NSC03_0_5	1_NSC03_0_5	soil metagenome	410658	
SAMN54531466	1_NSC03_5_10	1_NSC03_5_10	soil metagenome	410658	
SAMN54531467	1_NSC03_35_40	1_NSC03_35_40	soil metagenome	410658	
SAMN54531468	1_NSC03_40_45	1_NSC03_40_45	soil metagenome	410658	
SAMN54531469	1_NSC03_45_50	1_NSC03_45_50	soil metagenome	410658	
SAMN54531470	1_NSC04_10_15	1_NSC04_10_15	soil metagenome	410658	
SAMN54531471	1_NSC04_15_20	1_NSC04_15_20	soil metagenome	410658	
SAMN54531472	1_NSC04_45_50	1_NSC04_45_50	soil metagenome	410658	
SAMN54531473	1_NSC05_20_25	1_NSC05_20_25	soil metagenome	410658	
SAMN54531474	1_NSC05_25_30	1_NSC05_25_30	soil metagenome	410658	
SAMN54531475	1_NSC05_45_50	1_NSC05_45_50	soil metagenome	410658	
SAMN54531476	1_NSC06_0_5	1_NSC06_0_5	soil metagenome	410658	
SAMN54531477	1_NSC06_25_30	1_NSC06_25_30	soil metagenome	410658	
SAMN54531478	1_NSC06_35_40	1_NSC06_35_40	soil metagenome	410658	
SAMN54531479	1_NSC07_10_15	1_NSC07_10_15	soil metagenome	410658	
SAMN54531480	1_NSC07_15_20	1_NSC07_15_20	soil metagenome	410658	
SAMN54531481	1_NSC07_20_25	1_NSC07_20_25	soil metagenome	410658	
SAMN54531482	1_NSC08_0_5	1_NSC08_0_5	soil metagenome	410658	
SAMN54531483	1_NSC08_15_20	1_NSC08_15_20	soil metagenome	410658	
SAMN54531484	1_NSC08_35_40	1_NSC08_35_40	soil metagenome	410658	
SAMN54531485	1_NSC09_5_10	1_NSC09_5_10	soil metagenome	410658	
SAMN54531486	1_NSC09_25_30	1_NSC09_25_30	soil metagenome	410658	
SAMN54531487	1_NSC09_45_50	1_NSC09_45_50	soil metagenome	410658	
SAMN54531488	1_NSC10_10_15	1_NSC10_10_15	soil metagenome	410658	
SAMN54531489	1_NSC10_25_30	1_NSC10_25_30	soil metagenome	410658	
SAMN54531490	1_NSC10_30_35	1_NSC10_30_35	soil metagenome	410658	
SAMN54531491	1_NSC11_25_30	1_NSC11_25_30	soil metagenome	410658	
SAMN54531492	1_NSC11_30_35	1_NSC11_30_35	soil metagenome	410658	
SAMN54531493	1_NSC11_45_50	1_NSC11_45_50	soil metagenome	410658	
SAMN54531494	1_NSC12_15_20	1_NSC12_15_20	soil metagenome	410658	
SAMN54531495	1_NSC12_0_5	1_NSC12_0_5	soil metagenome	410658	
SAMN54531496	1_NSC12_35_40	1_NSC12_35_40	soil metagenome	410658	
SAMN54531497	1_NSC12_40_45	1_NSC12_40_45	soil metagenome	410658	
SAMN54531498	1_NSC13_25_30	1_NSC13_25_30	soil metagenome	410658	
SAMN54531499	1_NSC13_30_35	1_NSC13_30_35	soil metagenome	410658	
SAMN54531500	1_NSC13_35_40	1_NSC13_35_40	soil metagenome	410658	
SAMN54531501	1_NSC14_15_20	1_NSC14_15_20	soil metagenome	410658	
SAMN54531502	1_NSC14_0_5	1_NSC14_0_5	soil metagenome	410658	
SAMN54531503	1_NSC14_35_40	1_NSC14_35_40	soil metagenome	410658	
SAMN54531504	1_NSC14_40_45	1_NSC14_40_45	soil metagenome	410658	
SAMN54531505	1_NSC15_10_15	1_NSC15_10_15	soil metagenome	410658	
SAMN54531506	1_NSC15_25_30	1_NSC15_25_30	soil metagenome	410658	
SAMN54531507	1_NSC15_35_40	1_NSC15_35_40	soil metagenome	410658	
SAMN54531508	1_NSC15_40_45	1_NSC15_40_45	soil metagenome	410658	
SAMN54531509	1_NSC16_0_5	1_NSC16_0_5	soil metagenome	410658	
SAMN54531510	1_NSC16_35_40	1_NSC16_35_40	soil metagenome	410658	
SAMN54531511	1_NSC16_40_45	1_NSC16_40_45	soil metagenome	410658	
SAMN54531512	1_NSC17_0_5	1_NSC17_0_5	soil metagenome	410658	
SAMN54531513	1_NSC17_10_15	1_NSC17_10_15	soil metagenome	410658	
SAMN54531514	1_NSC17_15_20	1_NSC17_15_20	soil metagenome	410658	
SAMN54531515	1_NSC18_15_20	1_NSC18_15_20	soil metagenome	410658	
SAMN54531516	1_NSC18_20_25	1_NSC18_20_25	soil metagenome	410658	
SAMN54531517	1_NSC18_25_30	1_NSC18_25_30	soil metagenome	410658	
SAMN54531518	1_NSC18_40_45	1_NSC18_40_45	soil metagenome	410658	
SAMN54531519	1_NSC19_20_25	1_NSC19_20_25	soil metagenome	410658	
SAMN54531520	1_NSC19_40_45	1_NSC19_40_45	soil metagenome	410658	
SAMN54531521	1_NSC19_45_50	1_NSC19_45_50	soil metagenome	410658	
SAMN54531522	1_NSC20_15_20	1_NSC20_15_20	soil metagenome	410658	
SAMN54531523	1_NSC20_25_30	1_NSC20_25_30	soil metagenome	410658	
SAMN54531524	1_NSC20_35_40	1_NSC20_35_40	soil metagenome	410658	
SAMN54531525	1_NSC21_5_10	1_NSC21_5_10	soil metagenome	410658	
SAMN54531526	1_NSC21_10_15	1_NSC21_10_15	soil metagenome	410658	
SAMN54531527	1_NSC21_15_20	1_NSC21_15_20	soil metagenome	410658	
SAMN54531528	1_NSC21_20_25	1_NSC21_20_25	soil metagenome	410658	
SAMN54531529	1_NSC21_35_40	1_NSC21_35_40	soil metagenome	410658	
SAMN54531530	1_NSC22_0_5	1_NSC22_0_5	soil metagenome	410658	
SAMN54531531	1_NSC22_25_30	1_NSC22_25_30	soil metagenome	410658	
SAMN54531532	1_NSC22_30_35	1_NSC22_30_35	soil metagenome	410658	
SAMN54531533	1_NSC22_45_50	1_NSC22_45_50	soil metagenome	410658	
SAMN54531534	1_NSC23_5_10	1_NSC23_5_10	soil metagenome	410658	
SAMN54531535	1_NSC23_40_45	1_NSC23_40_45	soil metagenome	410658	
SAMN54531536	1_NSC23_45_50	1_NSC23_45_50	soil metagenome	410658	
SAMN54531537	1_NSC24_0_5	1_NSC24_0_5	soil metagenome	410658	
SAMN54531538	1_NSC24_5_10	1_NSC24_5_10	soil metagenome	410658	
SAMN54531539	1_NSC24_30_35	1_NSC24_30_35	soil metagenome	410658	
SAMN54531540	1_NSC25_5_10	1_NSC25_5_10	soil metagenome	410658	
SAMN54531541	1_NSC25_20_25	1_NSC25_20_25	soil metagenome	410658	
SAMN54531542	1_NSC25_30_35	1_NSC25_30_35	soil metagenome	410658	
SAMN54531543	1_NSC26_5_10	1_NSC26_5_10	soil metagenome	410658	
SAMN54531544	1_NSC26_20_25	1_NSC26_20_25	soil metagenome	410658	
