core,sample_id,barcode,location_x,location_y,lat_lon,sampling,Upper_Depth,Lower_Depth,EC_dSm,pH_CaCl2,pH_water,TN,TC,MC,CEC_NH4Ac_cmol.kg,Ca_NH4Ac_cmol.kg,K_NH4Ac_cmol.kg,Mg_NH4Ac_cmol.kg,Na_NH4Ac_cmol.kg
1,1_NSC01_5_10,32,148.687232,-34.47268092,34.47268092 S 148.687232 E,2019,5,10,0.07,5.9,6.7,0.13,1.01,0.76,5.82,4.9,0.47,0.45,<0.02
1,1_NSC01_35_40,NA,148.687232,-34.47268092,34.47268092 S 148.687232 E,2019,35,40,0.07,6.3,7.2,0.12,0.91,3,22.82,14,1,7.7,0.12
1,1_NSC01_45_50,NA,148.687232,-34.47268092,34.47268092 S 148.687232 E,2019,45,50,0.05,6.7,7.7,0.09,0.56,2.8,24.58,15,0.84,8.6,0.14
2,1_NSC02_20_25,NA,148.6858419,-34.47285339,34.47285339 S 148.6858419 E,2019,20,25,0.03,4.9,6,<0.05,0.43,0.54,3.19,2.6,0.22,0.37,<0.02
2,1_NSC02_35_40,NA,148.6858419,-34.47285339,34.47285339 S 148.6858419 E,2019,35,40,0.02,5.1,6.3,<0.05,0.22,1.7,4.399,3.1,0.3,0.96,0.039
2,1_NSC02_40_45,NA,148.6858419,-34.47285339,34.47285339 S 148.6858419 E,2019,40,45,0.02,5.4,6.4,<0.05,0.15,0.67,4.78,3.3,0.24,1.2,0.04
3,1_NSC03_0_5,28,148.6845149,-34.47345778,34.47345778 S 148.6845149 E,2019,0,5,0.05,6.7,7.4,0.1,0.89,0.67,6.09,5.2,0.54,0.35,<0.02
3,1_NSC03_5_10,41,148.6845149,-34.47345778,34.47345778 S 148.6845149 E,2019,5,10,0.05,7.1,7.7,0.08,0.86,0.66,7.04,6.3,0.39,0.35,<0.02
3,1_NSC03_35_40,NA,148.6845149,-34.47345778,34.47345778 S 148.6845149 E,2019,35,40,0.02,5.7,6.7,<0.05,0.19,0.73,4.02,2.8,0.37,0.85,<0.02
3,1_NSC03_40_45,NA,148.6845149,-34.47345778,34.47345778 S 148.6845149 E,2019,40,45,0.02,6,6.9,<0.05,0.15,0.78,4.04,2.7,0.37,0.97,<0.02
3,1_NSC03_45_50,NA,148.684515,-34.473458,34.473458 S 148.684515 E,2019,45,50,0.02,6.1,7.1,<0.05,0.15,0.81,4.27,2.8,0.37,1.1,<0.02
4,1_NSC04_10_15,57,148.6846819,-34.47364483,34.47364483 S 148.6846819 E,2019,10,15,0.04,5.9,6.6,0.1,0.89,0.54,5.16,4.3,0.48,0.38,<0.02
4,1_NSC04_15_20,69,148.6846819,-34.47364483,34.47364483 S 148.6846819 E,2019,15,20,0.03,4.5,5.4,0.05,0.44,0.43,2.36,1.7,0.38,0.28,<0.02
4,1_NSC04_45_50,NA,148.6846819,-34.47364483,34.47364483 S 148.6846819 E,2019,45,50,0.05,5.6,6.4,<0.05,0.29,1,8.183,4.9,0.63,2.6,0.053
5,1_NSC05_20_25,NA,148.6840722,-34.47364422,34.47364422 S 148.6840722 E,2019,20,25,0.05,4.7,5.5,0.05,0.47,1.3,8.03,5,0.7,2.3,0.03
5,1_NSC05_25_30,NA,148.6840722,-34.47364422,34.47364422 S 148.6840722 E,2019,25,30,0.06,5,5.8,0.08,0.66,2.2,14.26,8.5,1.1,4.6,0.06
5,1_NSC05_45_50,NA,148.6840722,-34.47364422,34.47364422 S 148.6840722 E,2019,45,50,0.05,5.8,6.7,0.06,0.5,2.3,18.47,9.9,1.1,7.3,0.17
6,1_NSC06_0_5,20,148.6850792,-34.47336885,34.47336885 S 148.6850792 E,2019,0,5,0.07,7.1,7.8,0.14,1.41,0.52,9.17,8,0.66,0.51,<0.02
6,1_NSC06_25_30,NA,148.6850792,-34.47336885,34.47336885 S 148.6850792 E,2019,25,30,0.02,5.5,6.6,<0.05,0.29,0.61,4.779,3.7,0.36,0.66,0.059
6,1_NSC06_35_40,NA,148.6850792,-34.47336885,34.47336885 S 148.6850792 E,2019,35,40,0.02,5.7,6.8,<0.05,0.28,0.51,5.438,4.2,0.31,0.85,0.078
7,1_NSC07_10_15,58,148.6867469,-34.47292205,34.47292205 S 148.6867469 E,2019,10,15,0.03,5.7,6.6,0.06,0.41,0.55,3.11,2.6,0.27,0.24,<0.02
7,1_NSC07_15_20,70,148.6867469,-34.47292205,34.47292205 S 148.6867469 E,2019,15,20,0.03,5.3,6.3,0.06,0.28,0.27,2.79,2.2,0.28,0.31,<0.02
