core,sample_id,barcode,library_id,file_name,location_x,location_y,lat_lon,sampling,Upper_Depth,Lower_Depth,isolation_source,EC_dSm,pH_CaCl2,pH_water,TN,TC
1,2_NSC01_5_10,52,CSIRO2023_2_NSC01_5_10,CSIRO2023_2_NSC01_5_10_q15_len300_sup.fastq.gz,148.687232,-34.47268092,34.47268092 S 148.687232 E,2023,5,10,"2023 agricultural soil core 1, 5_10 cm",0.02,6.1,6.8,0.0799,1.205
3,2_NSC03_0_5,45,CSIRO2023_2_NSC03_0_5,CSIRO2023_2_NSC03_0_5_q15_len300_sup.fastq.gz,148.6845149,-34.47345778,34.47345778 S 148.6845149 E,2023,0,5,"2023 agricultural soil core 3, 0_5 cm",0.02,6,7.1,0.1351,1.823
3,2_NSC03_5_10,85,CSIRO2023_2_NSC03_5_10,CSIRO2023_2_NSC03_5_10_q15_len300_sup.fastq.gz,148.6845149,-34.47345778,34.47345778 S 148.6845149 E,2023,5,10,"2023 agricultural soil core 3, 5_10 cm",0.01,5,7.5,0.0673,0.774
4,2_NSC04_10_15,35,CSIRO2023_2_NSC04_10_15,CSIRO2023_2_NSC04_10_15_q15_len300_sup.fastq.gz,148.6846819,-34.47364483,34.47364483 S 148.6846819 E,2023,10,15,"2023 agricultural soil core 4, 10_15 cm",0.01,5.8,7.4,0.0647,0.886
4,2_NSC04_5_10,67,CSIRO2023_2_NSC04_5_10,CSIRO2023_2_NSC04_5_10_q15_len300_sup.fastq.gz,148.6846819,-34.47364483,34.47364483 S 148.6846819 E,2023,5,10,"2023 agricultural soil core 4, 5_10 cm",0.01,5.3,7.2,0.0495,0.664
6,2_NSC06_0_5,81,CSIRO2023_2_NSC06_0_5,CSIRO2023_2_NSC06_0_5_q15_len300_sup.fastq.gz,148.6850792,-34.47336885,34.47336885 S 148.6850792 E,2023,0,5,"2023 agricultural soil core 6, 0_5 cm",0.02,5.7,6.5,0.1282,1.897
7,2_NSC07_10_15,48,CSIRO2023_2_NSC07_10_15,CSIRO2023_2_NSC07_10_15_q15_len300_sup.fastq.gz,148.6867469,-34.47292205,34.47292205 S 148.6867469 E,2023,10,15,"2023 agricultural soil core 7, 10_15 cm",0.01,6,6.9,0.0596,0.736
7,2_NSC07_15_20,65,CSIRO2023_2_NSC07_15_20,CSIRO2023_2_NSC07_15_20_q15_len300_sup.fastq.gz,148.6867469,-34.47292205,34.47292205 S 148.6867469 E,2023,15,20,"2023 agricultural soil core 7, 15_20 cm",0.01,6,6.9,0.0262,0.362
8,2_NSC08_0_5,68,CSIRO2023_2_NSC08_0_5,CSIRO2023_2_NSC08_0_5_q15_len300_sup.fastq.gz,148.6863845,-34.47276475,34.47276475 S 148.6863845 E,2023,0,5,"2023 agricultural soil core 8, 0_5 cm",0.02,5.8,6.5,0.1273,1.814
8,2_NSC08_15_20,76,CSIRO2023_2_NSC08_15_20,CSIRO2023_2_NSC08_15_20_q15_len300_sup.fastq.gz,148.6863845,-34.47276475,34.47276475 S 148.6863845 E,2023,15,20,"2023 agricultural soil core 8, 15_20 cm",0,5.9,7.1,0.0214,0.277
9,2_NSC09_5_10,40,CSIRO2023_2_NSC09_5_10,CSIRO2023_2_NSC09_5_10_q15_len300_sup.fastq.gz,148.6873071,-34.47262578,34.47262578 S 148.6873071 E,2023,5,10,"2023 agricultural soil core 9, 5_10 cm",0.01,5.9,6.8,0.0724,0.851
10,2_NSC10_1_15,83,CSIRO2023_2_NSC10_1_15,CSIRO2023_2_NSC10_1_15_q15_len300_sup.fastq.gz,148.6848815,-34.47328141,34.47328141 S 148.6848815 E,2023,10,15,"2023 agricultural soil core 10, 1_15 cm",0.02,5.9,6.6,0.0574,0.749
15,2_NSC15_10_15,91,CSIRO2023_2_NSC15_10_15,CSIRO2023_2_NSC15_10_15_q15_len300_sup.fastq.gz,148.6855308,-34.4730831,34.4730831 S 148.6855308 E,2023,10,15,"2023 agricultural soil core 15, 10_15 cm",0.01,6,7,0.0338,0.472
16,2_NSC16_0_5,73,CSIRO2023_2_NSC16_0_5,CSIRO2023_2_NSC16_0_5_q15_len300_sup.fastq.gz,148.6856973,-34.47378412,34.47378412 S 148.6856973 E,2023,0,5,"2023 agricultural soil core 16, 0_5 cm",0.03,5.9,6.8,0.096,2.39
17,2_NSC17_0_5,61,CSIRO2023_2_NSC17_0_5,CSIRO2023_2_NSC17_0_5_q15_len300_sup.fastq.gz,148.6876939,-34.47290898,34.47290898 S 148.6876939 E,2023,0,5,"2023 agricultural soil core 17, 0_5 cm",0.03,5.7,6.6,0.0888,1.364
17,2_NSC17_10_15,55,CSIRO2023_2_NSC17_10_15,CSIRO2023_2_NSC17_10_15_q15_len300_sup.fastq.gz,148.6876939,-34.47290898,34.47290898 S 148.6876939 E,2023,10,15,"2023 agricultural soil core 17, 10_15 cm",0.02,5.7,6.6,0.0998,1.477
17,2_NSC17_5_10,88,CSIRO2023_2_NSC17_5_10,CSIRO2023_2_NSC17_5_10_q15_len300_sup.fastq.gz,148.6876939,-34.47290898,34.47290898 S 148.6876939 E,2023,5,10,"2023 agricultural soil core 17, 5_10 cm",0.01,5.6,6.7,0.0506,0.678
18,2_NSC18_15_20,36,CSIRO2023_2_NSC18_15_20,CSIRO2023_2_NSC18_15_20_q15_len300_sup.fastq.gz,148.6855964,-34.47364124,34.47364124 S 148.6855964 E,2023,15,20,"2023 agricultural soil core 18, 15_20 cm",0.01,5.6,6.7,0.0245,0.309
20,2_NSC20_15_20,89,CSIRO2023_2_NSC20_15_20,CSIRO2023_2_NSC20_15_20_q15_len300_sup.fastq.gz,148.6840205,-34.4743212,34.4743212 S 148.6840205 E,2023,15,20,"2023 agricultural soil core 20, 15_20 cm",0.01,5.6,6.6,0.0188,0.249
21,2_NSC21_10_15,92,CSIRO2023_2_NSC21_10_15,CSIRO2023_2_NSC21_10_15_q15_len300_sup.fastq.gz,148.6872984,-34.47327511,34.47327511 S 148.6872984 E,2023,10,15,"2023 agricultural soil core 21, 10_15 cm",0.01,5.6,6.6,0.058,0.794
21,2_NSC21_15_20,59,CSIRO2023_2_NSC21_15_20,CSIRO2023_2_NSC21_15_20_q15_len300_sup.fastq.gz,148.6872984,-34.47327511,34.47327511 S 148.6872984 E,2023,15,20,"2023 agricultural soil core 21, 15_20 cm",0.01,5.5,6.6,0.0628,0.79
21,2_NSC21_5_10,74,CSIRO2023_2_NSC21_5_10,CSIRO2023_2_NSC21_5_10_q15_len300_sup.fastq.gz,148.6872984,-34.47327511,34.47327511 S 148.6872984 E,2023,5,10,"2023 agricultural soil core 21, 5_10 cm",0,5.6,6.6,0.0189,0.205
22,2_NSC22_0_5,43,CSIRO2023_2_NSC22_0_5,CSIRO2023_2_NSC22_0_5_q15_len300_sup.fastq.gz,148.6852717,-34.47373589,34.47373589 S 148.6852717 E,2023,0,5,"2023 agricultural soil core 22, 0_5 cm",0.02,5.3,6.4,0.084,1.127
23,2_NSC23_5_10,78,CSIRO2023_2_NSC23_5_10,CSIRO2023_2_NSC23_5_10_q15_len300_sup.fastq.gz,148.6847989,-34.47404898,34.47404898 S 148.6847989 E,2023,5,10,"2023 agricultural soil core 23, 5_10 cm",0.02,6,6.5,0.0714,0.931
24,2_NSC24_0_5,75,CSIRO2023_2_NSC24_0_5,CSIRO2023_2_NSC24_0_5_q15_len300_sup.fastq.gz,148.6857982,-34.47392699,34.47392699 S 148.6857982 E,2023,0,5,"2023 agricultural soil core 24, 0_5 cm",0.01,5.1,6.4,0.0956,1.403
24,2_NSC24_5_10,70,CSIRO2023_2_NSC24_5_10,CSIRO2023_2_NSC24_5_10_q15_len300_sup.fastq.gz,148.6857982,-34.47392699,34.47392699 S 148.6857982 E,2023,5,10,"2023 agricultural soil core 24, 5_10 cm",0.01,4.9,6.6,0.0427,0.743
25,2_NSC25_5_10,80,CSIRO2023_2_NSC25_5_10,CSIRO2023_2_NSC25_5_10_q15_len300_sup.fastq.gz,148.6863453,-34.4735227,34.4735227 S 148.6863453 E,2023,5,10,"2023 agricultural soil core 25, 5_10 cm",0.02,5.7,7.9,0.086,1.192
26,2_NSC26_5_10,50,CSIRO2023_2_NSC26_5_10,CSIRO2023_2_NSC26_5_10_q15_len300_sup.fastq.gz,148.6865893,-34.47320375,34.47320375 S 148.6865893 E,2023,5,10,"2023 agricultural soil core 26, 5_10 cm",0.01,5.3,6.4,0.0555,0.792
27,2_NSC27_0_5,54,CSIRO2023_2_NSC27_0_5,CSIRO2023_2_NSC27_0_5_q15_len300_sup.fastq.gz,148.6861251,-34.47339951,34.47339951 S 148.6861251 E,2023,0,5,"2023 agricultural soil core 27, 0_5 cm",0.01,5,6.2,0.0849,1.154
28,2_NSC28_5_10,38,CSIRO2023_2_NSC28_5_10,CSIRO2023_2_NSC28_5_10_q15_len300_sup.fastq.gz,148.6838536,-34.47468417,34.47468417 S 148.6838536 E,2023,5,10,"2023 agricultural soil core 28, 5_10 cm",0.01,5.6,6.5,0.0597,0.772
30,2_NSC30_0_5,58,CSIRO2023_2_NSC30_0_5,CSIRO2023_2_NSC30_0_5_q15_len300_sup.fastq.gz,148.6840903,-34.47454565,34.47454565 S 148.6840903 E,2023,0,5,"2023 agricultural soil core 30, 0_5 cm",0.01,5.2,6.7,0.0682,0.907
33,2_NSC33_0_5,69,CSIRO2023_2_NSC33_0_5,CSIRO2023_2_NSC33_0_5_q15_len300_sup.fastq.gz,148.6881122,-34.47313763,34.47313763 S 148.6881122 E,2023,0,5,"2023 agricultural soil core 33, 0_5 cm",0.02,5.5,6.8,0.107,1.443
33,2_NSC33_5_10,49,CSIRO2023_2_NSC33_5_10,CSIRO2023_2_NSC33_5_10_q15_len300_sup.fastq.gz,148.6881122,-34.47313763,34.47313763 S 148.6881122 E,2023,5,10,"2023 agricultural soil core 33, 5_10 cm",0.02,5.7,7.1,0.0687,0.904
35,2_NSC35_15_20,60,CSIRO2023_2_NSC35_15_20,CSIRO2023_2_NSC35_15_20_q15_len300_sup.fastq.gz,148.6852149,-34.47470147,34.47470147 S 148.6852149 E,2023,15,20,"2023 agricultural soil core 35, 15_20 cm",0.01,5.7,7.2,0.0259,0.324
36,2_NSC36_0_5,51,CSIRO2023_2_NSC36_0_5,CSIRO2023_2_NSC36_0_5_q15_len300_sup.fastq.gz,148.6841128,-34.47512242,34.47512242 S 148.6841128 E,2023,0,5,"2023 agricultural soil core 36, 0_5 cm",0.01,5.5,6.8,0.0817,1.176
36,2_NSC36_10_15,82,CSIRO2023_2_NSC36_10_15,CSIRO2023_2_NSC36_10_15_q15_len300_sup.fastq.gz,148.6841128,-34.47512242,34.47512242 S 148.6841128 E,2023,10,15,"2023 agricultural soil core 36, 10_15 cm",0.01,5.6,7,0.036,0.517
37,2_NSC37_15_20,63,CSIRO2023_2_NSC37_15_20,CSIRO2023_2_NSC37_15_20_q15_len300_sup.fastq.gz,148.6857524,-34.47436043,34.47436043 S 148.6857524 E,2023,15,20,"2023 agricultural soil core 37, 15_20 cm",0.01,5.7,7,0.0368,0.5
38,2_NSC38_10_15,56,CSIRO2023_2_NSC38_10_15,CSIRO2023_2_NSC38_10_15_q15_len300_sup.fastq.gz,148.6856568,-34.47447897,34.47447897 S 148.6856568 E,2023,10,15,"2023 agricultural soil core 38, 10_15 cm",0.01,5.6,6.5,0.0327,0.47
39,2_NSC39_0_5,86,CSIRO2023_2_NSC39_0_5,CSIRO2023_2_NSC39_0_5_q15_len300_sup.fastq.gz,148.6865946,-34.47400617,34.47400617 S 148.6865946 E,2023,0,5,"2023 agricultural soil core 39, 0_5 cm",0.01,4.1,5.1,0.0319,0.452
39,2_NSC39_15_20,96,CSIRO2023_2_NSC39_15_20,CSIRO2023_2_NSC39_15_20_q15_len300_sup.fastq.gz,148.6865946,-34.47400617,34.47400617 S 148.6865946 E,2023,15,20,"2023 agricultural soil core 39, 15_20 cm",0.01,4,5.1,0.0241,0.36
40,2_NSC40_0_5,77,CSIRO2023_2_NSC40_0_5,CSIRO2023_2_NSC40_0_5_q15_len300_sup.fastq.gz,148.6871256,-34.47388162,34.47388162 S 148.6871256 E,2023,0,5,"2023 agricultural soil core 40, 0_5 cm",0.01,5.3,6.4,0.0549,1.112
40,2_NSC40_10_15,41,CSIRO2023_2_NSC40_10_15,CSIRO2023_2_NSC40_10_15_q15_len300_sup.fastq.gz,148.6871256,-34.47388162,34.47388162 S 148.6871256 E,2023,10,15,"2023 agricultural soil core 40, 10_15 cm",0.01,6.2,6.9,0.0599,0.898
40,2_NSC40_15_20,93,CSIRO2023_2_NSC40_15_20,CSIRO2023_2_NSC40_15_20_q15_len300_sup.fastq.gz,148.6871256,-34.47388162,34.47388162 S 148.6871256 E,2023,15,20,"2023 agricultural soil core 40, 15_20 cm",0.01,4.6,5.5,0.0505,0.573
41,2_NSC41_0_5,53,CSIRO2023_2_NSC41_0_5,CSIRO2023_2_NSC41_0_5_q15_len300_sup.fastq.gz,148.6877746,-34.47313328,34.47313328 S 148.6877746 E,2023,0,5,"2023 agricultural soil core 41, 0_5 cm",0.03,6,6.8,0.0513,0.641
41,2_NSC41_15_20,46,CSIRO2023_2_NSC41_15_20,CSIRO2023_2_NSC41_15_20_q15_len300_sup.fastq.gz,148.6877746,-34.47313328,34.47313328 S 148.6877746 E,2023,15,20,"2023 agricultural soil core 41, 15_20 cm",0.01,5.5,6.7,0.0252,0.329
43,2_NSC43_0_5,84,CSIRO2023_2_NSC43_0_5,CSIRO2023_2_NSC43_0_5_q15_len300_sup.fastq.gz,148.6846028,-34.47458367,34.47458367 S 148.6846028 E,2023,0,5,"2023 agricultural soil core 43, 0_5 cm",0.02,5.9,6.9,0.0923,1.112
44,2_NSC44_0_5,87,CSIRO2023_2_NSC44_0_5,CSIRO2023_2_NSC44_0_5_q15_len300_sup.fastq.gz,148.6837923,-34.47488338,34.47488338 S 148.6837923 E,2023,0,5,"2023 agricultural soil core 44, 0_5 cm",0.01,5.4,6.7,0.0743,1.186
45,2_NSC45_10_15,95,CSIRO2023_2_NSC45_10_15,CSIRO2023_2_NSC45_10_15_q15_len300_sup.fastq.gz,148.6845872,-34.47489046,34.47489046 S 148.6845872 E,2023,10,15,"2023 agricultural soil core 45, 10_15 cm",0.02,5.9,6.8,0.0571,0.795
45,2_NSC45_5_10,42,CSIRO2023_2_NSC45_5_10,CSIRO2023_2_NSC45_5_10_q15_len300_sup.fastq.gz,148.6845872,-34.47489046,34.47489046 S 148.6845872 E,2023,5,10,"2023 agricultural soil core 45, 5_10 cm",0.02,5.7,6.7,0.0645,1.037
46,2_NSC46_10_15,37,CSIRO2023_2_NSC46_10_15,CSIRO2023_2_NSC46_10_15_q15_len300_sup.fastq.gz,148.6869661,-34.47407318,34.47407318 S 148.6869661 E,2023,10,15,"2023 agricultural soil core 46, 10_15 cm",0.02,5.8,6.9,0.0522,0.653
49,2_NSC49_0_5,39,CSIRO2023_2_NSC49_0_5,CSIRO2023_2_NSC49_0_5_q15_len300_sup.fastq.gz,148.6847412,-34.47496949,34.47496949 S 148.6847412 E,2023,0,5,"2023 agricultural soil core 49, 0_5 cm",0.02,5.9,6.9,0.1101,1.598
50,2_NSC50_5_10,79,CSIRO2023_2_NSC50_5_10,CSIRO2023_2_NSC50_5_10_q15_len300_sup.fastq.gz,148.6853223,-34.47516886,34.47516886 S 148.6853223 E,2023,5,10,"2023 agricultural soil core 50, 5_10 cm",0.02,5.9,7,0.0618,0.941
51,2_NSC51_0_5,44,CSIRO2023_2_NSC51_0_5,CSIRO2023_2_NSC51_0_5_q15_len300_sup.fastq.gz,148.6866646,-34.47423964,34.47423964 S 148.6866646 E,2023,0,5,"2023 agricultural soil core 51, 0_5 cm",0.02,6.1,6.9,0.0515,0.766
52,2_NSC52_15_20,57,CSIRO2023_2_NSC52_15_20,CSIRO2023_2_NSC52_15_20_q15_len300_sup.fastq.gz,148.6877886,-34.47382738,34.47382738 S 148.6877886 E,2023,15,20,"2023 agricultural soil core 52, 15_20 cm",0.01,6.2,7.4,0.0084,0.162
52,2_NSC52_5_10,62,CSIRO2023_2_NSC52_5_10,CSIRO2023_2_NSC52_5_10_q15_len300_sup.fastq.gz,148.6877886,-34.47382738,34.47382738 S 148.6877886 E,2023,5,10,"2023 agricultural soil core 52, 5_10 cm",0.02,6.1,7.2,0.051,0.721
53,2_NSC53_5_10,47,CSIRO2023_2_NSC53_5_10,CSIRO2023_2_NSC53_5_10_q15_len300_sup.fastq.gz,148.6856926,-34.47463176,34.47463176 S 148.6856926 E,2023,5,10,"2023 agricultural soil core 53, 5_10 cm",0.01,6.2,7.3,0.0479,0.666
58,2_NSC58_10_15,66,CSIRO2023_2_NSC58_10_15,CSIRO2023_2_NSC58_10_15_q15_len300_sup.fastq.gz,148.6842518,-34.47553528,34.47553528 S 148.6842518 E,2023,10,15,"2023 agricultural soil core 58, 10_15 cm",0.01,5.4,6.9,0.0191,0.316
59,2_NSC59_10_15,90,CSIRO2023_2_NSC59_10_15,CSIRO2023_2_NSC59_10_15_q15_len300_sup.fastq.gz,148.6864941,-34.47442233,34.47442233 S 148.6864941 E,2023,10,15,"2023 agricultural soil core 59, 10_15 cm",0.02,5.8,7.1,0.0354,0.462
59,2_NSC59_5_10,94,CSIRO2023_2_NSC59_5_10,CSIRO2023_2_NSC59_5_10_q15_len300_sup.fastq.gz,148.6864941,-34.47442233,34.47442233 S 148.6864941 E,2023,5,10,"2023 agricultural soil core 59, 5_10 cm",0.01,5.6,6.8,0.0535,0.768
