sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	core	upper_depth_cm	lower_depth_cm	['Electrical_Conductivity_dSm']	pH_CaCl2	pH_water	['Total_Nitrogen_Combustion_%']	Total_Organic_Carbon_Combustion_%	['moisture_content']	CEC_NH4Ac_cmol_kg	Ca_NH4Ac_cmol_kg	K_NH4Ac_cmol_kg	Mg_NH4Ac_cmol_kg	Na_NH4Ac_cmol_kg
1_NSC01_5_10			soil metagenome	environmental soil	2019 agricultural soil core 1, 5_10 cm	2019	Australia: New South Wales, Boorowa	34.47268092 S 148.687232 E								1	5	10	0.07	5.9	6.7	0.13	1.01	0.76	5.82	4.9	0.47	0.45	<0.02
1_NSC01_35_40			soil metagenome	environmental soil	2019 agricultural soil core 1, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.47268092 S 148.687232 E								1	35	40	0.07	6.3	7.2	0.12	0.91	3	22.82	14	1	7.7	0.12
1_NSC01_45_50			soil metagenome	environmental soil	2019 agricultural soil core 1, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.47268092 S 148.687232 E								1	45	50	0.05	6.7	7.7	0.09	0.56	2.8	24.58	15	0.84	8.6	0.14
1_NSC02_20_25			soil metagenome	environmental soil	2019 agricultural soil core 2, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.47285339 S 148.6858419 E								2	20	25	0.03	4.9	6	<0.05	0.43	0.54	3.19	2.6	0.22	0.37	<0.02
1_NSC02_35_40			soil metagenome	environmental soil	2019 agricultural soil core 2, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.47285339 S 148.6858419 E								2	35	40	0.02	5.1	6.3	<0.05	0.22	1.7	4.399	3.1	0.3	0.96	0.039
1_NSC02_40_45			soil metagenome	environmental soil	2019 agricultural soil core 2, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47285339 S 148.6858419 E								2	40	45	0.02	5.4	6.4	<0.05	0.15	0.67	4.78	3.3	0.24	1.2	0.04
1_NSC03_0_5			soil metagenome	environmental soil	2019 agricultural soil core 3, 0_5 cm	2019	Australia: New South Wales, Boorowa	34.47345778 S 148.6845149 E								3	0	5	0.05	6.7	7.4	0.1	0.89	0.67	6.09	5.2	0.54	0.35	<0.02
1_NSC03_5_10			soil metagenome	environmental soil	2019 agricultural soil core 3, 5_10 cm	2019	Australia: New South Wales, Boorowa	34.47345778 S 148.6845149 E								3	5	10	0.05	7.1	7.7	0.08	0.86	0.66	7.04	6.3	0.39	0.35	<0.02
1_NSC03_35_40			soil metagenome	environmental soil	2019 agricultural soil core 3, 35_40 cm	2019	Australia: New South Wales, Boorowa	34.47345778 S 148.6845149 E								3	35	40	0.02	5.7	6.7	<0.05	0.19	0.73	4.02	2.8	0.37	0.85	<0.02
1_NSC03_40_45			soil metagenome	environmental soil	2019 agricultural soil core 3, 40_45 cm	2019	Australia: New South Wales, Boorowa	34.47345778 S 148.6845149 E								3	40	45	0.02	6	6.9	<0.05	0.15	0.78	4.04	2.7	0.37	0.97	<0.02
1_NSC03_45_50			soil metagenome	environmental soil	2019 agricultural soil core 3, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.473458 S 148.684515 E								3	45	50	0.02	6.1	7.1	<0.05	0.15	0.81	4.27	2.8	0.37	1.1	<0.02
1_NSC04_10_15			soil metagenome	environmental soil	2019 agricultural soil core 4, 10_15 cm	2019	Australia: New South Wales, Boorowa	34.47364483 S 148.6846819 E								4	10	15	0.04	5.9	6.6	0.1	0.89	0.54	5.16	4.3	0.48	0.38	<0.02
1_NSC04_15_20			soil metagenome	environmental soil	2019 agricultural soil core 4, 15_20 cm	2019	Australia: New South Wales, Boorowa	34.47364483 S 148.6846819 E								4	15	20	0.03	4.5	5.4	0.05	0.44	0.43	2.36	1.7	0.38	0.28	<0.02
1_NSC04_45_50			soil metagenome	environmental soil	2019 agricultural soil core 4, 45_50 cm	2019	Australia: New South Wales, Boorowa	34.47364483 S 148.6846819 E								4	45	50	0.05	5.6	6.4	<0.05	0.29	1	8.183	4.9	0.63	2.6	0.053
1_NSC05_20_25			soil metagenome	environmental soil	2019 agricultural soil core 5, 20_25 cm	2019	Australia: New South Wales, Boorowa	34.47364422 S 148.6840722 E								5	20	25	0.05	4.7	5.5	0.05	0.47	1.3	8.03	5	0.7	2.3	0.03
