sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	fasta_file	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
1_NSC39_0_5	CSIRO2019_1_NSC39_0_5	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC39 core  0-5 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC39_0_5_q15_len300_sup.fastq.gz							
1_NSC41_0_5	CSIRO2019_1_NSC41_0_5	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC41 core  0-5 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC41_0_5_q15_len300_sup.fastq.gz							
1_NSC33_0_5	CSIRO2019_1_NSC33_0_5	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC33 core  0-5 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC33_0_5_q15_len300_sup.fastq.gz							
1_NSC06_0_5	CSIRO2019_1_NSC06_0_5	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC06 core  0-5 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC06_0_5_q15_len300_sup.fastq.gz							
1_NSC08_0_5	CSIRO2019_1_NSC08_0_5	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC08 core  0-5 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC08_0_5_q15_len300_sup.fastq.gz							
1_NSC36_0_5	CSIRO2019_1_NSC36_0_5	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC36 core  0-5 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC36_0_5_q15_len300_sup.fastq.gz							
1_NSC49_0_5	CSIRO2019_1_NSC49_0_5	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC49 core  0-5 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC49_0_5_q15_len300_sup.fastq.gz							
1_NSC30_0_5	CSIRO2019_1_NSC30_0_5	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC30 core  0-5 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC30_0_5_q15_len300_sup.fastq.gz							
1_NSC17_0_5	CSIRO2019_1_NSC17_0_5	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC17 core  0-5 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC17_0_5_q15_len300_sup.fastq.gz							
1_NSC22_0_5	CSIRO2019_1_NSC22_0_5	ONT long-read metagenome sequencing of soil metagenome: Boorowa NSW NSC22 core  0-5 cm (2019)	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	MinION	Shotgun metagenomic DNA library from agricultural soil cores. DNA extracted with DNeasy PowerSoil kit, prepared with ONT ligation sequencing and barcoding, sequenced on ONT MinION using R10 flow cells. Reads were basecalled with Dorado v1.3.0 in super-accurate (sup) mode.	fastq			CSIRO2019_1_NSC22_0_5_q15_len300_sup.fastq.gz							
