name,core,location_x,location_y,sampling,Upper_Depth,Lower_Depth,EC_dSm,pH_CaCl2,pH_water,TN,TC,MC,CEC_NH4Ac_cmol.kg,Ca_NH4Ac_cmol.kg,K_NH4Ac_cmol.kg,Mg_NH4Ac_cmol.kg,Na_NH4Ac_cmol.kg,,
1_NSC01_5_10,1,148.687232,-34.47268092,2019,5,10,0.07,5.9,6.7,0.1300,1.010,0.76,5.82,4.9,0.47,0.45,<0.02,,
1_NSC03_0_5,3,148.6845149,-34.47345778,2019,0,5,0.05,6.7,7.4,0.1000,0.890,0.67,6.09,5.2,0.54,0.35,<0.02,,
1_NSC03_5_10,3,148.6845149,-34.47345778,2019,5,10,0.05,7.1,7.7,0.0800,0.860,0.66,7.04,6.3,0.39,0.35,<0.02,,
1_NSC04_10_15,4,148.6846819,-34.47364483,2019,10,15,0.04,5.9,6.6,0.1000,0.890,0.54,5.16,4.3,0.48,0.38,<0.02,,
1_NSC04_15_20,4,148.6846819,-34.47364483,2019,15,20,0.03,4.5,5.4,0.0500,0.440,0.43,2.36,1.7,0.38,0.28,<0.02,,
1_NSC06_0_5,6,148.6850792,-34.47336885,2019,0,5,0.07,7.1,7.8,0.1400,1.410,0.52,9.17,8,0.66,0.51,<0.02,,
1_NSC07_10_15,7,148.6867469,-34.47292205,2019,10,15,0.03,5.7,6.6,0.0600,0.410,0.55,3.11,2.6,0.27,0.24,<0.02,,
1_NSC07_15_20,7,148.6867469,-34.47292205,2019,15,20,0.03,5.3,6.3,0.0600,0.280,0.27,2.79,2.2,0.28,0.31,<0.02,,
1_NSC08_0_5,8,148.6863845,-34.47276475,2019,0,5,0.12,6,6.7,0.1100,1.260,0.43,7.175,5.7,0.79,0.66,0.025,,
1_NSC08_15_20,8,148.6863845,-34.47276475,2019,15,20,0.04,5.9,6.8,0.0500,0.520,0.41,4.662,3.3,0.48,0.83,0.052,,
1_NSC09_5_10,9,148.6873071,-34.47262578,2019,5,10,0.05,5.8,6.7,0.1100,1.140,2.1,9.64,7.5,0.84,1.3,<0.02,,
1_NSC10_10_15,10,148.6848815,-34.47328141,2019,10,15,0.05,5.4,6.1,0.1100,0.920,1.2,4.64,3.8,0.32,0.52,<0.02,,
1_NSC12_15_20,12,148.68456,-34.47353831,2019,15,20,0.03,5.5,6.4,0.0500,0.510,0.56,3.68,3,0.31,0.37,<0.02,,
1_NSC14_15_20,14,148.685472,-34.47340852,2019,15,20,0.03,5.2,6.4,<0.05,0.300,0.93,2.83,2,0.22,0.52,0.09,,
1_NSC15_10_15,15,148.6855308,-34.4730831,2019,10,15,0.06,5.2,6,0.1100,1.060,0.62,4.537,3.8,0.2,0.49,0.047,,
1_NSC16_0_5,16,148.6856973,-34.47378412,2019,0,5,0.09,7,7.6,0.1600,1.950,1.1,10.67,9,0.96,0.71,<0.02,,
1_NSC17_0_5,17,148.6876939,-34.47290898,2019,0,5,0.1,5.5,6.1,0.1600,1.240,0.77,5.752,4.6,0.53,0.6,0.022,,
1_NSC17_10_15,17,148.6876939,-34.47290898,2019,10,15,0.03,5.1,6,0.0600,0.480,0.54,2.54,2,0.31,0.23,<0.02,,
1_NSC17_15_20,17,148.6876939,-34.47290898,2019,15,20,0.03,4.8,5.8,<0.05,0.270,0.48,1.69,1.2,0.29,0.2,<0.02,,
1_NSC18_15_20,18,148.6855964,-34.47364124,2019,15,20,0.05,5.4,6.5,<0.05,0.390,0.59,3.33,2,0.25,0.76,0.32,,
1_NSC20_15_20,20,148.6840205,-34.4743212,2019,15,20,0.02,4.8,5.7,<0.05,0.230,0.82,2.45,1.8,0.29,0.36,<0.02,,
1_NSC21_5_10,21,148.6872984,-34.47327511,2019,5,10,0.07,5.5,6.2,0.0600,0.600,0.45,3.21,2.6,0.3,0.31,<0.02,,
1_NSC21_15_20,21,148.6872984,-34.47327511,2019,15,20,0.03,5.5,6.4,<0.05,0.210,0.4,2.267,1.7,0.22,0.31,0.037,,
1_NSC22_0_5,22,148.6852717,-34.47373589,2019,0,5,0.11,7,7.6,0.1000,0.980,0.64,7.029,5.9,0.49,0.58,0.059,,
1_NSC23_5_10,23,148.6847989,-34.47404898,2019,5,10,0.02,5.6,6.5,0.0700,0.650,0.84,6,4.3,0.5,1.2,<0.02,,
1_NSC24_0_5,24,148.6857982,-34.47392699,2019,0,5,0.1,5.7,6.4,0.1200,1.140,0.62,5.574,4.5,0.57,0.47,0.034,,
1_NSC24_5_10,24,148.6857982,-34.47392699,2019,5,10,0.09,5.6,6.2,0.1600,1.310,0.67,5.563,4.7,0.4,0.44,0.023,,
1_NSC26_5_10,26,148.6865893,-34.47320375,2019,5,10,0.06,6.5,7.1,0.0800,0.720,0.58,4.87,4.2,0.35,0.32,<0.02,,
1_NSC27_0_5,27,148.6861251,-34.47339951,2019,0,5,0.14,6.4,7,0.1300,1.120,0.74,6.738,5.5,0.47,0.69,0.078,,
1_NSC28_5_10,28,148.6838536,-34.47468417,2019,5,10,0.11,6.5,7.1,0.0900,0.980,0.7,6.78,5.9,0.45,0.43,<0.02,,
1_NSC29_5_10,29,148.6840903,-34.47454565,2019,5,10,0.12,7.3,7.9,0.1200,1.060,0.8,10.12,8.8,0.79,0.53,<0.02,,
