,Sample.ID,name,core,x,y,Sampled.Date,Analysed.Date,time,Upper_Depth,Lower_Depth,Moisture..air.dried.sample,X15E1.CEC.cmol..kg,X15E1.Calcium..Amm.acet...cmol..kg,X15E1.Potassium..Amm.acet...cmol..kg,X15E1.Magnesium..Amm.acet...cmol..kg,X15E1.Sodium..Amm.acet...cmol..kg,X3A1.Electrical.Conductivity.1.dS.m,X4B2.pH..1.5.CaCl2,X4A1.pH..1.5.Water,X7A5.Total.Nitrogen..Combustion..,X6B2.Total.Organic.Carbon.Combustion..
1,NSC 01 5,1_NSC01_5_10,1,148.687232,-34.47268092,1/01/2019,9/06/2022,1,5,10,0.76,5.82,4.9,0.47,0.45,<0.02,0.07,5.9,6.7,0.13,1.01
4,NSC 03 0,1_NSC03_0_5,3,148.6845149,-34.47345778,1/01/2019,9/06/2022,1,0,5,0.67,6.09,5.2,0.54,0.35,<0.02,0.05,6.7,7.4,0.1,0.89
7,NSC 03 5,1_NSC03_5_10,3,148.6845149,-34.47345778,1/01/2019,9/06/2022,1,5,10,0.66,7.04,6.3,0.39,0.35,<0.02,0.05,7.1,7.7,0.08,0.86
10,NSC 04 10,1_NSC04_10_15,4,148.6846819,-34.47364483,1/01/2019,9/06/2022,1,10,15,0.54,5.16,4.3,0.48,0.38,<0.02,0.04,5.9,6.6,0.1,0.89
13,NSC 04 15,1_NSC04_15_20,4,148.6846819,-34.47364483,1/01/2019,9/06/2022,1,15,20,0.43,2.36,1.7,0.38,0.28,<0.02,0.03,4.5,5.4,0.05,0.44
16,NSC 06 0,1_NSC06_0_5,6,148.6850792,-34.47336885,1/01/2019,9/06/2022,1,0,5,0.52,9.17,8,0.66,0.51,<0.02,0.07,7.1,7.8,0.14,1.41
19,NSC 07 10,1_NSC07_10_15,7,148.6867469,-34.47292205,1/01/2019,9/06/2022,1,10,15,0.55,3.11,2.6,0.27,0.24,<0.02,0.03,5.7,6.6,0.06,0.41
22,NSC 07 15,1_NSC07_15_20,7,148.6867469,-34.47292205,1/01/2019,9/06/2022,1,15,20,0.27,2.79,2.2,0.28,0.31,<0.02,0.03,5.3,6.3,0.06,0.28
25,NSC 08 0,1_NSC08_0_5,8,148.6863845,-34.47276475,1/01/2019,9/06/2022,1,0,5,0.43,7.175,5.7,0.79,0.66,0.025,0.12,6,6.7,0.11,1.26
29,NSC 08 15,1_NSC08_15_20,8,148.6863845,-34.47276475,1/01/2019,9/06/2022,1,15,20,0.41,4.662,3.3,0.48,0.83,0.052,0.04,5.9,6.8,0.05,0.52
32,NSC 09 5,1_NSC09_5_10,9,148.6873071,-34.47262578,1/01/2019,9/06/2022,1,5,10,2.1,9.64,7.5,0.84,1.3,<0.02,0.05,5.8,6.7,0.11,1.14
35,NSC 10 10,1_NSC10_10_15,10,148.6848815,-34.47328141,1/01/2019,9/06/2022,1,10,15,1.2,4.64,3.8,0.32,0.52,<0.02,0.05,5.4,6.1,0.11,0.92
