Accession	Sample Name	SPUID	Organism	Tax ID	BioProject
SAMN54531717	ACT_SOIL_KOWEN_NOPLANT_BIOFERTILISER_R01	ACT_SOIL_KOWEN_NOPLANT_BIOFERTILISER_R01	soil metagenome	410658	PRJNA1400213
SAMN54531718	ACT_SOIL_KOWEN_NOPLANT_WATER_R01	ACT_SOIL_KOWEN_NOPLANT_WATER_R01	soil metagenome	410658	PRJNA1400213
SAMN54531719	ACT_SOIL_KOWEN_PLANT_BIOFERTILISER_R01	ACT_SOIL_KOWEN_PLANT_BIOFERTILISER_R01	soil metagenome	410658	PRJNA1400213
SAMN54531720	ACT_SOIL_KOWEN_PLANT_BIOFERTILISER_R02	ACT_SOIL_KOWEN_PLANT_BIOFERTILISER_R02	soil metagenome	410658	PRJNA1400213
SAMN54531721	ACT_SOIL_KOWEN_PLANT_BIOFERTILISER_R03	ACT_SOIL_KOWEN_PLANT_BIOFERTILISER_R03	soil metagenome	410658	PRJNA1400213
SAMN54531722	ACT_SOIL_KOWEN_PLANT_CHEMFERTILISER_R01	ACT_SOIL_KOWEN_PLANT_CHEMFERTILISER_R01	soil metagenome	410658	PRJNA1400213
SAMN54531723	ACT_SOIL_KOWEN_PLANT_CHEMFERTILISER_R02	ACT_SOIL_KOWEN_PLANT_CHEMFERTILISER_R02	soil metagenome	410658	PRJNA1400213
SAMN54531724	ACT_SOIL_KOWEN_PLANT_WATER_R01	ACT_SOIL_KOWEN_PLANT_WATER_R01	soil metagenome	410658	PRJNA1400213
SAMN54531725	ACT_SOIL_KOWEN_PLANT_WATER_R02	ACT_SOIL_KOWEN_PLANT_WATER_R02	soil metagenome	410658	PRJNA1400213
SAMN54531726	ACT_SOIL_KOWEN_UNGERM_BIOFERTILISER_R01	ACT_SOIL_KOWEN_UNGERM_BIOFERTILISER_R01	soil metagenome	410658	PRJNA1400213
SAMN54531727	ACT_SOIL_KOWEN_UNGERM_BIOFERTILISER_R02	ACT_SOIL_KOWEN_UNGERM_BIOFERTILISER_R02	soil metagenome	410658	PRJNA1400213
SAMN54531728	ACT_SOIL_RIVER_NOPLANT_BIOFERTILISER_R01	ACT_SOIL_RIVER_NOPLANT_BIOFERTILISER_R01	soil metagenome	410658	PRJNA1400213
SAMN54531729	ACT_SOIL_RIVER_NOPLANT_WATER_R01	ACT_SOIL_RIVER_NOPLANT_WATER_R01	soil metagenome	410658	PRJNA1400213
SAMN54531730	ACT_SOIL_RIVER_PLANT_BIOFERTILISER_R01	ACT_SOIL_RIVER_PLANT_BIOFERTILISER_R01	soil metagenome	410658	PRJNA1400213
SAMN54531731	ACT_SOIL_RIVER_PLANT_BIOFERTILISER_R02	ACT_SOIL_RIVER_PLANT_BIOFERTILISER_R02	soil metagenome	410658	PRJNA1400213
SAMN54531732	ACT_SOIL_RIVER_PLANT_BIOFERTILISER_R03	ACT_SOIL_RIVER_PLANT_BIOFERTILISER_R03	soil metagenome	410658	PRJNA1400213
SAMN54531733	ACT_SOIL_RIVER_PLANT_CHEMFERTILISER_R01	ACT_SOIL_RIVER_PLANT_CHEMFERTILISER_R01	soil metagenome	410658	PRJNA1400213
SAMN54531734	ACT_SOIL_RIVER_PLANT_CHEMFERTILISER_R02	ACT_SOIL_RIVER_PLANT_CHEMFERTILISER_R02	soil metagenome	410658	PRJNA1400213
SAMN54531735	ACT_SOIL_RIVER_PLANT_CHEMFERTILISER_R03	ACT_SOIL_RIVER_PLANT_CHEMFERTILISER_R03	soil metagenome	410658	PRJNA1400213
SAMN54531736	ACT_SOIL_RIVER_PLANT_WATER_R01	ACT_SOIL_RIVER_PLANT_WATER_R01	soil metagenome	410658	PRJNA1400213
SAMN54531737	ACT_SOIL_RIVER_PLANT_WATER_R02	ACT_SOIL_RIVER_PLANT_WATER_R02	soil metagenome	410658	PRJNA1400213
SAMN54531738	ACT_SOIL_RIVER_PLANT_WATER_R03	ACT_SOIL_RIVER_PLANT_WATER_R03	soil metagenome	410658	PRJNA1400213
SAMN54531739	ACT_SOIL_RIVER_UNGERM_WATER_R01	ACT_SOIL_RIVER_UNGERM_WATER_R01	soil metagenome	410658	PRJNA1400213
SAMN54531740	ACT_SOIL_RIVER_UNGERM_WATER_R02	ACT_SOIL_RIVER_UNGERM_WATER_R02	soil metagenome	410658	PRJNA1400213
SAMN54531741	ACT_SOIL_BIOFERTILISER_ONLY_R01	ACT_SOIL_BIOFERTILISER_ONLY_R01	soil metagenome	410658	PRJNA1400213
