sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	fasta_file	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
ACT_SOIL_RIVER_PLANT_BIOFERTILISER_R01	riverbed_barley_biofertiliser_R01_BC1	ONT long-read sequencing of rhizosphere metagenome: ACT pot trial, river soil, planted, biofertiliser, R01	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			riverbed_barley_biofertiliser_R01_BC1.fastq.gz							
ACT_SOIL_RIVER_PLANT_BIOFERTILISER_R02	riverbed_barley_biofertiliser_R02_BC2	ONT long-read sequencing of rhizosphere metagenome: ACT pot trial, river soil, planted, biofertiliser, R02	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			riverbed_barley_biofertiliser_R02_BC2.fastq.gz							
ACT_SOIL_RIVER_PLANT_BIOFERTILISER_R03	riverbed_barley_biofertiliser_R03_BC3	ONT long-read sequencing of rhizosphere metagenome: ACT pot trial, river soil, planted, biofertiliser, R03	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			riverbed_barley_biofertiliser_R03_BC3.fastq.gz							
ACT_SOIL_RIVER_PLANT_CHEMFERTILISER_R01	riverbed_barley_chemical_fertiliser_R01_BC4	ONT long-read sequencing of rhizosphere metagenome: ACT pot trial, river soil, planted, chemical fertiliser, R01	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			riverbed_barley_chemical_fertiliser_R01_BC4.fastq.gz							
ACT_SOIL_RIVER_PLANT_CHEMFERTILISER_R02	riverbed_barley_chemical_fertiliser_R02_BC5	ONT long-read sequencing of rhizosphere metagenome: ACT pot trial, river soil, planted, chemical fertiliser, R02	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			riverbed_barley_chemical_fertiliser_R02_BC5.fastq.gz							
ACT_SOIL_RIVER_PLANT_CHEMFERTILISER_R03	riverbed_barley_chemical_fertiliser_R03_BC6	ONT long-read sequencing of rhizosphere metagenome: ACT pot trial, river soil, planted, chemical fertiliser, R03	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			riverbed_barley_chemical_fertiliser_R03_BC6.fastq.gz							
ACT_SOIL_RIVER_UNGERM_WATER_R01	riverbed_ungerminated_water_R01_BC7	ONT long-read sequencing of soil metagenome: ACT pot trial, river soil, ungerminated seed, water, R01	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			riverbed_ungerminated_water_R01_BC7.fastq.gz							
ACT_SOIL_RIVER_UNGERM_WATER_R02	riverbed_ungerminated_water_R02_BC8	ONT long-read sequencing of soil metagenome: ACT pot trial, river soil, ungerminated seed, water, R02	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			riverbed_ungerminated_water_R02_BC8.fastq.gz							
ACT_SOIL_RIVER_PLANT_WATER_R01	riverbed_barley_water_R01_BC9	ONT long-read sequencing of rhizosphere metagenome: ACT pot trial, river soil, planted, water, R01	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			riverbed_barley_water_R01_BC9.fastq.gz							
ACT_SOIL_RIVER_PLANT_WATER_R02	riverbed_barley_water_R02_BC10	ONT long-read sequencing of rhizosphere metagenome: ACT pot trial, river soil, planted, water, R02	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Shotgun metagenomic DNA libraries from soil and rhizosphere (rhizosheath) samples were extracted with the QIAGEN DNeasy PowerSoil Pro kit, prepared with the ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96) using end-prep and ligation, pooled and sequenced on an ONT PromethION, then basecalled and demultiplexed with Dorado v1.1.1 in super-accurate (sup) mode and quality filtered (median Q>=15, length >=300bp).	fastq			riverbed_barley_water_R02_BC10.fastq.gz							
