sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	replicate	['shoot_biomass_g']
barley_c_R1			soil metagenome	Hordeum vulgare (cultivated)		2025-07	Australia: Australian Capital Territory, Canberra	not collected								1	0.39
barley_c_R2			soil metagenome	Hordeum vulgare (cultivated)		2025-07	Australia: Australian Capital Territory, Canberra	not collected								2	0.19
barley_c_R3			soil metagenome	Hordeum vulgare (cultivated)		2025-07	Australia: Australian Capital Territory, Canberra	not collected								3	0.41
barley_c_R4			soil metagenome	Hordeum vulgare (cultivated)		2025-07	Australia: Australian Capital Territory, Canberra	not collected								4	0.43
barley_c_R5			soil metagenome	Hordeum vulgare (cultivated)		2025-07	Australia: Australian Capital Territory, Canberra	not collected								5	0.47
barley_w_R1			soil metagenome	Hordeum vulgare (wild)		2025-07	Australia: Australian Capital Territory, Canberra	not collected								1	0.28
barley_w_R2			soil metagenome	Hordeum vulgare (wild)		2025-07	Australia: Australian Capital Territory, Canberra	not collected								2	0.37
barley_w_R3			soil metagenome	Hordeum vulgare (wild)		2025-07	Australia: Australian Capital Territory, Canberra	not collected								3	0.26
barley_w_R4			soil metagenome	Hordeum vulgare (wild)		2025-07	Australia: Australian Capital Territory, Canberra	not collected								4	0.22
barley_w_R5			soil metagenome	Hordeum vulgare (wild)		2025-07	Australia: Australian Capital Territory, Canberra	not collected								5	0.32
canola_R1			soil metagenome	Brassica napus		2025-07	Australia: Australian Capital Territory, Canberra	not collected								1	0.38
canola_R2			soil metagenome	Brassica napus		2025-07	Australia: Australian Capital Territory, Canberra	not collected								2	0.32
canola_R3			soil metagenome	Brassica napus		2025-07	Australia: Australian Capital Territory, Canberra	not collected								3	0.35
canola_R4			soil metagenome	Brassica napus		2025-07	Australia: Australian Capital Territory, Canberra	not collected								4	0.39
canola_R5			soil metagenome	Brassica napus		2025-07	Australia: Australian Capital Territory, Canberra	not collected								5	0.39
carinata_R1			soil metagenome	Brassica carinata		2025-07	Australia: Australian Capital Territory, Canberra	not collected								1	0.49
carinata_R2			soil metagenome	Brassica carinata		2025-07	Australia: Australian Capital Territory, Canberra	not collected								2	0.32
carinata_R3			soil metagenome	Brassica carinata		2025-07	Australia: Australian Capital Territory, Canberra	not collected								3	0.25
carinata_R4			soil metagenome	Brassica carinata		2025-07	Australia: Australian Capital Territory, Canberra	not collected								4	0.25
carinata_R5			soil metagenome	Brassica carinata		2025-07	Australia: Australian Capital Territory, Canberra	not collected								5	0.41
chickpea_R1			soil metagenome	Cicer arietinum		2025-07	Australia: Australian Capital Territory, Canberra	not collected								1	0.45
chickpea_R2			soil metagenome	Cicer arietinum		2025-07	Australia: Australian Capital Territory, Canberra	not collected								2	0.34
chickpea_R3			soil metagenome	Cicer arietinum		2025-07	Australia: Australian Capital Territory, Canberra	not collected								3	0.3
chickpea_R4			soil metagenome	Cicer arietinum		2025-07	Australia: Australian Capital Territory, Canberra	not collected								4	0.01
chickpea_R5			soil metagenome	Cicer arietinum		2025-07	Australia: Australian Capital Territory, Canberra	not collected								5	0.88
control_R1			soil metagenome	control		2025-07	Australia: Australian Capital Territory, Canberra	not collected								1	0
control_R2			soil metagenome	control		2025-07	Australia: Australian Capital Territory, Canberra	not collected								2	0
control_R3			soil metagenome	control		2025-07	Australia: Australian Capital Territory, Canberra	not collected								3	0
control_R4			soil metagenome	control		2025-07	Australia: Australian Capital Territory, Canberra	not collected								4	0
control_R5			soil metagenome	control		2025-07	Australia: Australian Capital Territory, Canberra	not collected								5	0
medicago_R1			soil metagenome	Medicago truncatula		2025-07	Australia: Australian Capital Territory, Canberra	not collected								1	0.24
medicago_R2			soil metagenome	Medicago truncatula		2025-07	Australia: Australian Capital Territory, Canberra	not collected								2	0.2
medicago_R3			soil metagenome	Medicago truncatula		2025-07	Australia: Australian Capital Territory, Canberra	not collected								3	0.13
medicago_R4			soil metagenome	Medicago truncatula		2025-07	Australia: Australian Capital Territory, Canberra	not collected								4	0.17
medicago_R5			soil metagenome	Medicago truncatula		2025-07	Australia: Australian Capital Territory, Canberra	not collected								5	0.17
