sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	replicate	shoot_biomass_g	electrical_conductivity_msm	ph
barley_c_R3			soil metagenome	Hordeum vulgare (cultivated)		2025-08	Australia: Australian Capital Territory, Canberra	not collected								3	0.58	38.4	7.2
barley_c_R4			soil metagenome	Hordeum vulgare (cultivated)		2025-08	Australia: Australian Capital Territory, Canberra	not collected								4	0.68	33.4	7.4
barley_c_R2			soil metagenome	Hordeum vulgare (cultivated)		2025-08	Australia: Australian Capital Territory, Canberra	not collected								2	0.53	39	7.5
barley_c_R5			soil metagenome	Hordeum vulgare (cultivated)		2025-08	Australia: Australian Capital Territory, Canberra	not collected								5	0.6	35.7	7.6
barley_c_R1			soil metagenome	Hordeum vulgare (cultivated)		2025-08	Australia: Australian Capital Territory, Canberra	not collected								1	0.65	29.2	7.7
barley_w_R3			soil metagenome	Hordeum vulgare (wild)		2025-08	Australia: Australian Capital Territory, Canberra	not collected								3	0.6	37.9	7.4
barley_w_R1			soil metagenome	Hordeum vulgare (wild)		2025-08	Australia: Australian Capital Territory, Canberra	not collected								1	0.54	52.2	7.4
barley_w_R2			soil metagenome	Hordeum vulgare (wild)		2025-08	Australia: Australian Capital Territory, Canberra	not collected								2	0.66	29.5	7.6
barley_w_R4			soil metagenome	Hordeum vulgare (wild)		2025-08	Australia: Australian Capital Territory, Canberra	not collected								4	0.68	36.9	7.6
barley_w_R5			soil metagenome	Hordeum vulgare (wild)		2025-08	Australia: Australian Capital Territory, Canberra	not collected								5	0.7	29.7	7.7
canola_R2			soil metagenome	Brassica napus		2025-08	Australia: Australian Capital Territory, Canberra	not collected								2	0	118.2	7.1
canola_R3			soil metagenome	Brassica napus		2025-08	Australia: Australian Capital Territory, Canberra	not collected								3	0	70.4	7.2
canola_R1			soil metagenome	Brassica napus		2025-08	Australia: Australian Capital Territory, Canberra	not collected								1	0.77	28.6	7.4
canola_R4			soil metagenome	Brassica napus		2025-08	Australia: Australian Capital Territory, Canberra	not collected								4	0	54.3	7.5
canola_R5			soil metagenome	Brassica napus		2025-08	Australia: Australian Capital Territory, Canberra	not collected								5	0.64	30.15	7.6
carinata_R3			soil metagenome	Brassica carinata		2025-08	Australia: Australian Capital Territory, Canberra	not collected								3	0.69	32.2	7.5
carinata_R5			soil metagenome	Brassica carinata		2025-08	Australia: Australian Capital Territory, Canberra	not collected								5	0.78	33.8	7.5
carinata_R2			soil metagenome	Brassica carinata		2025-08	Australia: Australian Capital Territory, Canberra	not collected								2	0.48	29.4	7.6
carinata_R1			soil metagenome	Brassica carinata		2025-08	Australia: Australian Capital Territory, Canberra	not collected								1	0.67	30.4	7.6
carinata_R4			soil metagenome	Brassica carinata		2025-08	Australia: Australian Capital Territory, Canberra	not collected								4	0.57	38.3	7.6
chickpea_R3			soil metagenome	Cicer arietinum		2025-08	Australia: Australian Capital Territory, Canberra	not collected								3	0.17	90	7.3
chickpea_R2			soil metagenome	Cicer arietinum		2025-08	Australia: Australian Capital Territory, Canberra	not collected								2	0.54	51.2	7.4
chickpea_R1			soil metagenome	Cicer arietinum		2025-08	Australia: Australian Capital Territory, Canberra	not collected								1	0.39	87.4	7.4
chickpea_R5			soil metagenome	Cicer arietinum		2025-08	Australia: Australian Capital Territory, Canberra	not collected								5	0.33	63.1	7.5
chickpea_R4			soil metagenome	Cicer arietinum		2025-08	Australia: Australian Capital Territory, Canberra	not collected								4	0.51	37.8	7.6
control_R5			soil metagenome	no_plant_control		2025-08	Australia: Australian Capital Territory, Canberra	not collected								5	0	62.4	7.3
control_R3			soil metagenome	no_plant_control		2025-08	Australia: Australian Capital Territory, Canberra	not collected								3	0	64.7	7.3
control_R4			soil metagenome	no_plant_control		2025-08	Australia: Australian Capital Territory, Canberra	not collected								4	0	59.7	7.4
control_R1			soil metagenome	no_plant_control		2025-08	Australia: Australian Capital Territory, Canberra	not collected								1	0	85.8	7.5
control_R2			soil metagenome	no_plant_control		2025-08	Australia: Australian Capital Territory, Canberra	not collected								2	0	54.4	7.6
medicago_R4			soil metagenome	Medicago truncatula		2025-08	Australia: Australian Capital Territory, Canberra	not collected								4	0.26	68.8	7.2
medicago_R3			soil metagenome	Medicago truncatula		2025-08	Australia: Australian Capital Territory, Canberra	not collected								3	0.037	92.4	7.2
medicago_R1			soil metagenome	Medicago truncatula		2025-08	Australia: Australian Capital Territory, Canberra	not collected								1	0.035	136.3	7.2
medicago_R5			soil metagenome	Medicago truncatula		2025-08	Australia: Australian Capital Territory, Canberra	not collected								5	0.29	78.3	7.3
medicago_R2			soil metagenome	Medicago truncatula		2025-08	Australia: Australian Capital Territory, Canberra	not collected								2	0.43	31.6	7.6
p_ctrl_R4			soil metagenome	planter_bed_outgroup_control		2025-08	Australia: Australian Capital Territory, Canberra	not collected								4	0	142.8	7.1
p_ctrl_R3			soil metagenome	planter_bed_outgroup_control		2025-08	Australia: Australian Capital Territory, Canberra	not collected								3	0	132.4	7.2
p_ctrl_R1			soil metagenome	planter_bed_outgroup_control		2025-08	Australia: Australian Capital Territory, Canberra	not collected								1	0	149.4	7.2
p_ctrl_R2			soil metagenome	planter_bed_outgroup_control		2025-08	Australia: Australian Capital Territory, Canberra	not collected								2	0	132.8	7.3
p_ctrl_R5			soil metagenome	planter_bed_outgroup_control		2025-08	Australia: Australian Capital Territory, Canberra	not collected								5	0	139.5	7.5
