sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	fasta_file	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
barley_c_R2	barley_c_R2_BC1	ONT long-read metagenome of agricultural soil: Hordeum vulgare (cultivated), R2	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Oxford Nanopore long-read shotgun metagenome sequencing was performed on DNA extracted (QIAGEN DNeasy PowerSoil Pro) from greenhouse pot microcosm soils under different crop treatments and no-plant controls (25 days), with libraries prepared using ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96), pooled and sequenced on an ONT PromethION (PromethION 2 Solo), then basecalled and demultiplexed with Dorado (SUP).	fastq			barley_c_R2_BC1.fastq.gz							
medicago_R1	medicago_R1_BC2	ONT long-read metagenome of agricultural soil: Medicago truncatula, R1	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Oxford Nanopore long-read shotgun metagenome sequencing was performed on DNA extracted (QIAGEN DNeasy PowerSoil Pro) from greenhouse pot microcosm soils under different crop treatments and no-plant controls (25 days), with libraries prepared using ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96), pooled and sequenced on an ONT PromethION (PromethION 2 Solo), then basecalled and demultiplexed with Dorado (SUP).	fastq			medicago_R1_BC2.fastq.gz							
canola_R1	canola_R1_BC3	ONT long-read metagenome of agricultural soil: Brassica napus, R1	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Oxford Nanopore long-read shotgun metagenome sequencing was performed on DNA extracted (QIAGEN DNeasy PowerSoil Pro) from greenhouse pot microcosm soils under different crop treatments and no-plant controls (25 days), with libraries prepared using ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96), pooled and sequenced on an ONT PromethION (PromethION 2 Solo), then basecalled and demultiplexed with Dorado (SUP).	fastq			canola_R1_BC3.fastq.gz							
chickpea_R1	chickpea_R1_BC4	ONT long-read metagenome of agricultural soil: Cicer arietinum, R1	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Oxford Nanopore long-read shotgun metagenome sequencing was performed on DNA extracted (QIAGEN DNeasy PowerSoil Pro) from greenhouse pot microcosm soils under different crop treatments and no-plant controls (25 days), with libraries prepared using ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96), pooled and sequenced on an ONT PromethION (PromethION 2 Solo), then basecalled and demultiplexed with Dorado (SUP).	fastq			chickpea_R1_BC4.fastq.gz							
barley_c_R3	barley_c_R3_BC5	ONT long-read metagenome of agricultural soil: Hordeum vulgare (cultivated), R3	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Oxford Nanopore long-read shotgun metagenome sequencing was performed on DNA extracted (QIAGEN DNeasy PowerSoil Pro) from greenhouse pot microcosm soils under different crop treatments and no-plant controls (25 days), with libraries prepared using ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96), pooled and sequenced on an ONT PromethION (PromethION 2 Solo), then basecalled and demultiplexed with Dorado (SUP).	fastq			barley_c_R3_BC5.fastq.gz							
medicago_R2	medicago_R2_BC6	ONT long-read metagenome of agricultural soil: Medicago truncatula, R2	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Oxford Nanopore long-read shotgun metagenome sequencing was performed on DNA extracted (QIAGEN DNeasy PowerSoil Pro) from greenhouse pot microcosm soils under different crop treatments and no-plant controls (25 days), with libraries prepared using ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96), pooled and sequenced on an ONT PromethION (PromethION 2 Solo), then basecalled and demultiplexed with Dorado (SUP).	fastq			medicago_R2_BC6.fastq.gz							
canola_R2	canola_R2_BC7	ONT long-read metagenome of agricultural soil: Brassica napus, R2	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Oxford Nanopore long-read shotgun metagenome sequencing was performed on DNA extracted (QIAGEN DNeasy PowerSoil Pro) from greenhouse pot microcosm soils under different crop treatments and no-plant controls (25 days), with libraries prepared using ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96), pooled and sequenced on an ONT PromethION (PromethION 2 Solo), then basecalled and demultiplexed with Dorado (SUP).	fastq			canola_R2_BC7.fastq.gz							
chickpea_R2	chickpea_R2_BC8	ONT long-read metagenome of agricultural soil: Cicer arietinum, R2	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Oxford Nanopore long-read shotgun metagenome sequencing was performed on DNA extracted (QIAGEN DNeasy PowerSoil Pro) from greenhouse pot microcosm soils under different crop treatments and no-plant controls (25 days), with libraries prepared using ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96), pooled and sequenced on an ONT PromethION (PromethION 2 Solo), then basecalled and demultiplexed with Dorado (SUP).	fastq			chickpea_R2_BC8.fastq.gz							
barley_c_R4	barley_c_R4_BC9	ONT long-read metagenome of agricultural soil: Hordeum vulgare (cultivated), R4	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Oxford Nanopore long-read shotgun metagenome sequencing was performed on DNA extracted (QIAGEN DNeasy PowerSoil Pro) from greenhouse pot microcosm soils under different crop treatments and no-plant controls (25 days), with libraries prepared using ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96), pooled and sequenced on an ONT PromethION (PromethION 2 Solo), then basecalled and demultiplexed with Dorado (SUP).	fastq			barley_c_R4_BC9.fastq.gz							
medicago_R3	medicago_R3_BC10	ONT long-read metagenome of agricultural soil: Medicago truncatula, R3	WGS	METAGENOMIC	RANDOM	single	OXFORD_NANOPORE	PromethION	Oxford Nanopore long-read shotgun metagenome sequencing was performed on DNA extracted (QIAGEN DNeasy PowerSoil Pro) from greenhouse pot microcosm soils under different crop treatments and no-plant controls (25 days), with libraries prepared using ONT Native Barcoding Kit 96 V14 (SQK-NBD114.96), pooled and sequenced on an ONT PromethION (PromethION 2 Solo), then basecalled and demultiplexed with Dorado (SUP).	fastq			medicago_R3_BC10.fastq.gz							
