"user_genome","Product.Prediction","BiG.SCAPE.class"
"SRR6185369rbin.37","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR6185369rbin.37","NRPS.T1PKS","PKS-NRP_Hybrids"
"S25rbin.1","T1PKS.T2PKS.redox-cofactor.NRPS.guanidinotides","Others"
"S246bin.14","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR12349226bin.4","NRPS","NRPS"
"SRR3982071rbin.1","NRPS.RiPP-like","Others"
"SRR5947209rbin.2","NRPS.RiPP-like.T1PKS","Others"
"S193bin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR9650533rbin.18","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"S354bin.2","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR11672838bin.22","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR12277192bin.1","NRPS","NRPS"
"S379bin.3","NRPS","NRPS"
"SRR10953933bin.1","NRPS","NRPS"
"SRR11449187bin.43","PKS-like.T3PKS.transAT-PKS","PKSother"
"neis65rebin.4","NRPS.T1PKS","PKS-NRP_Hybrids"
"S326bin.10","NRPS.RiPP-like.T1PKS","Others"
"S193bin.1","NRPS","NRPS"
"SRR3982071rbin.1","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR12349226bin.1","NAPAA.NRPS.T3PKS.transAT-PKS","PKS-NRP_Hybrids"
"S264bin.67","NRPS.lanthipeptide-class-ii.lanthipeptide-class-i","Others"
"SRR11842680bin.9","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR3982071rbin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR11678566bin.28","NRPS.T1PKS","PKS-NRP_Hybrids"
"S333bin.8","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"S326bin.6","T1PKS","PKSI"
"SRR5195117rbin.9","T1PKS.butyrolactone","Others"
"SRR7142033rbin.1","NRPS.T1PKS.RRE-containing","Others"
"S61rbin.7","PKS-like.transAT-PKS","PKSother"
"SRR11794808bin.7","PKS-like.transAT-PKS","PKSother"
"S134bin.9","NRPS.PKS-like.T3PKS.transAT-PKS","PKS-NRP_Hybrids"
"SRR9009774bin.211","NRPS.NRPS-like.T1PKS.redox-cofactor","Others"
"SRR5581483rbin.99","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR10953300bin.5","NRPS.transAT-PKS","PKS-NRP_Hybrids"
"SRR1164896rbin.10","NRPS.T3PKS.transAT-PKS","PKS-NRP_Hybrids"
"SRR7102016rbin.16","thioamide-NRP.acyl_amino_acids","Others"
"SRR12170512bin.28","NRPS","NRPS"
"SRR11836029bin.29","NRPS.T1PKS.lanthipeptide-class-iv","Others"
"S408bin.9","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR12659395bin.13","NRPS.NRPS-like.T1PKS.nucleoside","Others"
"SRR12659394bin.23","NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR7882663rbin.18","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"S386bin.8","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR10955009bin.4","NRPS.transAT-PKS-like.T3PKS","PKS-NRP_Hybrids"
"SRR12277192bin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"zpcx_11bin.6","NRPS.T1PKS","PKS-NRP_Hybrids"
"S333bin.8","NRPS.T1PKS","PKS-NRP_Hybrids"
"S333bin.8","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR3747750rbin.3","thioamide-NRP.acyl_amino_acids","Others"
"S326bin.6","T1PKS.NRPS-like.betalactone","Others"
"SRR5437868rbin.4","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR12349226bin.4","transAT-PKS","PKSother"
"SRR10376087bin.20","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR12347921bin.5","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR6266536rbin.27","T1PKS.hglE-KS","PKSother"
"S193bin.1","ladderane.NRPS.T1PKS","Others"
"SRR7011991rbin.1","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR10954988bin.6","NRPS.T1PKS","PKS-NRP_Hybrids"
"S313bin.2","NRPS.T1PKS.nucleoside","Others"
"SRR9694538rbin.27","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR12767728bin.4","NRPS.PKS-like.T3PKS.transAT-PKS","PKS-NRP_Hybrids"
"SRR7098092rbin.14","NRPS-like.betalactone.hglE-KS","Others"
"SRR12377071bin.12","T1PKS.resorcinol","Others"
"SRR12349226bin.6","NRPS.T1PKS","PKS-NRP_Hybrids"
"S406bin.40","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"neis65rebin.4","NRPS.T1PKS","PKS-NRP_Hybrids"
"S408bin.9","NRPS.NRPS-like.T1PKS","PKS-NRP_Hybrids"
"SRR8558721rbin.7","NRPS.T1PKS","PKS-NRP_Hybrids"
"zpcx_18bin.15","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR12277192bin.1","NRPS","NRPS"
"S379bin.4","NRPS.T1PKS","PKS-NRP_Hybrids"
"SRR7142033rbin.9","transAT-PKS","PKSother"
"S313bin.17","NRPS.transAT-PKS-like","PKS-NRP_Hybrids"
